"","Player","FGP_1997","FGP_1998","FGP_1999","FGP_2000","FGP_2001","FGP_2002","FGP_2003","FGP_2004","FGP_2005","FGP_2006","FGP_2007","FGP_2008","FGP_2009","FGP_2010","FGP_2011","FGP_2012","FGP_2013","FGP_2014","FGP_2015","FGP_2016"
"73","Arron Afflalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436666666666667,0.464957264957265,0.497607655502392,0.470672389127325,0.438674033149171,0.458951533135509,0.42420814479638,0.443053817271589
"74","Art Long",NA,NA,NA,NA,NA,0.491803278688525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Arvydas Sabonis*",0.498480243161094,0.49273607748184,0.485355648535565,0.505016722408027,0.478682170542636,NA,0.476454293628809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Austin Croshere",NA,NA,NA,0.44104134762634,0.393723252496434,0.412946428571429,NA,0.387622149837134,0.378269617706237,0.463157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Austin Daye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464406779661017,0.409766454352442,NA,0.432692307692308,NA,0.354609929078014,NA
"78","Austin Rivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371794871794872,0.40506329113924,0.409274193548387,0.437984496124031
"79","Avery Bradley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497512437810945,0.401673640167364,0.437575757575758,0.428853754940711,0.447497546614328
"80","Avery Johnson",0.477372262773723,0.478390461997019,0.472885032537961,0.472941176470588,0.446666666666667,0.479166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","B.J. Armstrong",0.452599388379205,0.492957746478873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Baron Davis",NA,NA,NA,0.420323325635104,0.427377220480669,0.416853094705444,0.416040100250627,0.395149786019971,0.386968085106383,0.389082462253194,0.438834951456311,0.425950196592398,0.370177267987487,0.405911330049261,0.417027417027417,NA,NA,NA,NA,NA
