Season,Player,Age,Pos,Tm,GP,G,A,PTS,PlusMinus,PIM,EV,PP,SH,GW,EV,PP,SH,S,SP,TOI
2015,Matt Stajan,32,C,CGY,80,6,11,17,-4,52,4,0,2,0,10,0,1,58,10.3,1016
2015,Joseph Blandisi,21,LW,NJD,41,5,12,17,-14,34,1,4,0,1,10,2,0,43,11.6,640
2015,Kevin Connauton,25,D,TOT,65,5,12,17,7,60,5,0,0,0,9,3,0,109,4.6,1088
2015,Cody Franson,28,D,BUF,59,4,13,17,-5,26,3,1,0,1,7,6,0,92,4.3,993
2015,Dan Girardi,31,D,NYR,74,2,15,17,18,20,2,0,0,1,14,0,1,77,2.6,1504
2015,Alex Petrovic,23,D,FLA,66,2,15,17,17,90,2,0,0,0,14,0,1,53,3.8,1119
2015,Dmitry Kulikov,25,D,FLA,74,1,16,17,8,51,1,0,0,1,10,6,0,99,1,1557
2015,Ryan White,27,C,PHI,73,11,5,16,-9,101,8,3,0,0,5,0,0,88,12.5,917
2015,Viktor Arvidsson,22,LW,NSH,56,8,8,16,-8,35,7,1,0,3,8,0,0,139,5.8,694
2015,Sam Gagner,26,C,PHI,53,8,8,16,4,25,6,2,0,2,7,1,0,86,9.3,735
2015,Trevor Lewis,29,C,LAK,75,8,8,16,-10,20,7,0,1,1,7,1,0,167,4.8,1092
2015,Milan Michalek,31,LW,TOT,45,7,9,16,0,18,4,3,0,0,6,3,0,64,10.9,725
2015,Derek Dorsett,29,RW,VAN,71,5,11,16,-13,177,5,0,0,0,10,0,1,91,5.5,894
2015,Justin Fontaine,28,RW,MIN,60,5,11,16,3,20,5,0,0,1,10,0,1,54,9.3,711
2015,Jeff Petry,28,D,MTL,51,5,11,16,-6,16,4,1,0,2,4,4,3,98,5.1,1089
2015,Brett Pesce,21,D,CAR,69,4,12,16,-7,16,3,1,0,1,8,4,0,85,4.7,1295
2015,Luke Schenn,26,D,TOT,72,4,12,16,-2,82,3,1,0,0,12,0,0,76,5.3,1265
2015,Marek Zidlicky,38,D,NYI,53,4,12,16,5,20,4,0,0,1,8,4,0,48,8.3,826
2015,Tyler Kennedy,29,C,NJD,50,3,13,16,-14,14,2,1,0,0,8,5,0,72,4.2,671
2015,Colin Miller,23,D,BOS,42,3,13,16,0,39,3,0,0,0,8,5,0,59,5.1,663
2015,Calvin de Haan,24,D,NYI,72,2,14,16,3,20,2,0,0,0,13,1,0,102,2,1486
2015,Toby Enstrom,31,D,WPG,72,2,14,16,8,44,2,0,0,0,13,1,0,50,4,1502
2015,Nate Schmidt,24,D,WSH,72,2,14,16,12,16,2,0,0,1,14,0,0,80,2.5,1301
2015,Roman Polak,29,D,TOT,79,1,15,16,6,72,1,0,0,0,15,0,0,91,1.1,1513
2015,Brian Dumoulin,24,D,PIT,79,0,16,16,11,14,0,0,0,0,16,0,0,101,0,1492
2015,Patrik Berglund,27,C,STL,42,10,5,15,1,16,6,4,0,5,5,0,0,80,12.5,651
2015,Sergey Kalinin,24,C,NJD,78,8,7,15,-9,33,5,3,0,2,7,0,0,70,11.4,1039
2015,Emerson Etem,23,RW,TOT,58,7,8,15,-12,11,7,0,0,1,8,0,0,100,7,763
2015,Colin Greening,29,LW,TOT,31,7,8,15,-2,13,6,1,0,0,7,1,0,58,12.1,437
2015,Shawn Horcoff,37,C,ANA,59,6,9,15,1,34,5,0,1,2,8,0,1,73,8.2,784
2015,Dominic Moore,35,C,NYR,80,6,9,15,-2,32,6,0,0,2,9,0,0,94,6.4,1064
2015,Tom Kuhnhackl,24,RW,PIT,42,5,10,15,3,24,3,0,2,1,10,0,0,52,9.6,512
2015,Josh Manson,24,D,ANA,71,5,10,15,11,74,5,0,0,1,10,0,0,88,5.7,1334
2015,Kevin Bieksa,34,D,ANA,71,4,11,15,-7,99,2,2,0,1,7,4,0,109,3.7,1492
2015,Linden Vey,24,RW,VAN,41,4,11,15,-14,6,1,3,0,0,9,2,0,40,10,646
2015,Jonathan Ericsson,31,D,DET,71,3,12,15,2,56,3,0,0,0,12,0,0,68,4.4,1316
2015,Brendan Smith,26,D,DET,63,3,12,15,1,62,2,1,0,0,12,0,0,82,3.7,1109
2015,Marc Staal,29,D,NYR,77,2,13,15,2,36,2,0,0,1,13,0,0,65,3.1,1515
2015,Joffrey Lupul,32,LW,TOR,46,11,3,14,-10,12,9,2,0,2,1,2,0,102,10.8,673
2015,Andreas Athanasiou,21,C,DET,37,9,5,14,1,5,8,0,1,1,5,0,0,53,17,334
2015,Alex Chiasson,25,RW,OTT,77,8,6,14,2,45,5,2,1,1,6,0,0,88,9.1,1050
2015,Eric Fehr,30,C,PIT,55,8,6,14,0,19,4,0,4,2,5,1,0,74,10.8,718
2015,Jack Skille,28,RW,COL,74,8,6,14,-4,11,8,0,0,0,6,0,0,106,7.5,654
2015,Pierre-Edouard Bellemare,30,LW,PHI,74,7,7,14,-8,27,6,0,1,1,6,0,1,102,6.9,1004
2015,Ryan Garbutt,30,C,TOT,80,7,7,14,-11,48,6,0,1,3,7,0,0,135,5.2,867
2015,Jack Johnson,29,D,CBJ,60,6,8,14,-16,25,3,3,0,2,5,3,0,86,7,1451
2015,Scottie Upshall,32,RW,STL,70,6,8,14,5,44,6,0,0,1,5,0,3,113,5.3,766
2015,Radko Gudas,25,D,PHI,76,5,9,14,-3,116,5,0,0,1,9,0,0,150,3.3,1508
2015,David Legwand,35,C,BUF,79,5,9,14,-4,14,4,0,1,0,7,1,1,61,8.2,767
2015,Jacob Josefson,24,C,NJD,58,4,10,14,-21,20,1,3,0,1,1,8,1,86,4.7,900
2015,Jake McCabe,22,D,BUF,77,4,10,14,6,51,4,0,0,0,10,0,0,62,6.5,1472
2015,Trevor van Riemsdyk,24,D,CHI,82,3,11,14,-5,31,3,0,0,1,8,2,1,85,3.5,1639
2015,Brooks Laich,32,C,TOT,81,2,12,14,-13,18,2,0,0,1,11,0,1,101,2,926
2015,Brayden McNabb,25,D,LAK,81,2,12,14,11,92,2,0,0,1,10,1,1,91,2.2,1524
2015,Chris VandeVelde,28,C,PHI,79,2,12,14,-7,27,1,0,1,0,12,0,0,77,2.6,1071
2015,Erik Gustafsson,23,D,CHI,41,0,14,14,11,4,0,0,0,0,13,1,0,58,0,633
2015,Andrew Desjardins,29,LW,CHI,77,8,5,13,-8,30,8,0,0,1,5,0,0,96,8.3,1030
2015,Cody McLeod,31,LW,COL,82,8,5,13,1,138,7,1,0,1,5,0,0,73,11,864
2015,Andrew Copp,21,C,WPG,77,7,6,13,8,6,7,0,0,0,6,0,0,54,13,616
2015,Dwight King,26,LW,LAK,47,7,6,13,-6,24,7,0,0,2,6,0,0,48,14.6,679
2015,Jake Virtanen,19,RW,VAN,55,7,6,13,-7,45,6,1,0,1,6,0,0,94,7.4,636
2015,Derek MacKenzie,34,C,FLA,64,6,7,13,7,36,6,0,0,3,6,0,1,79,7.6,842
2015,William Nylander,19,C,TOR,22,6,7,13,1,4,5,1,0,1,5,2,0,43,14,359
2015,Chris Wideman,26,D,OTT,64,6,7,13,4,34,5,1,0,2,6,1,0,87,6.9,893
2015,Chris Neil,36,RW,OTT,80,5,8,13,-3,165,5,0,0,0,8,0,0,70,7.1,744
2015,Iiro Pakarinen,24,RW,EDM,63,5,8,13,-10,8,5,0,0,0,6,2,0,76,6.6,677
2015,Michael Del Zotto,25,D,PHI,52,4,9,13,-8,16,4,0,0,1,8,1,0,98,4.1,1217
2015,Andy Greene,33,D,NJD,82,4,9,13,7,26,3,1,0,0,8,1,0,63,6.3,1882
2015,Dmitrij Jaskin,22,RW,STL,65,4,9,13,3,26,4,0,0,1,9,0,0,92,4.3,771
2015,Josh Jooris,25,C,CGY,59,4,9,13,-1,39,4,0,0,0,7,0,2,80,5,725
2015,Dan Hamhuis,33,D,VAN,58,3,10,13,-2,28,2,1,0,1,8,2,0,72,4.2,1242
2015,Nick Spaling,27,C,TOT,58,3,10,13,-2,24,3,0,0,0,10,0,0,53,5.7,828
2015,Michal Rozsival,37,D,CHI,51,1,12,13,3,33,1,0,0,0,9,2,1,41,2.4,824
2015,Ryan Carter,32,LW,MIN,60,7,5,12,-3,48,6,0,1,0,5,0,0,62,11.3,668
2015,Beau Bennett,24,RW,PIT,33,6,6,12,-1,10,5,1,0,0,4,2,0,52,11.5,393
2015,Nicolas Deslauriers,24,LW,BUF,70,6,6,12,-14,59,6,0,0,1,6,0,0,72,8.3,723
2015,Teemu Pulkkinen,24,LW,DET,36,6,6,12,2,14,5,1,0,1,4,2,0,65,9.2,416
2015,Chris Thorburn,32,RW,WPG,82,6,6,12,-1,81,5,0,1,2,6,0,0,70,8.6,830
2015,Radek Faksa,22,C,DAL,45,5,7,12,9,16,5,0,0,1,6,1,0,67,7.5,556
2015,Matt Hendricks,34,LW,EDM,68,5,7,12,2,82,4,0,1,0,6,0,1,62,8.1,900
