Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Bruno Caboclo,SF,20,TOR,6,1,43,1,12,1,7,0,5,0,0,1,1,2,1,2,1,4,2,3
2016,Jose Calderon,PG,34,NYK,72,72,2024,209,455,84,203,125,252,42,48,22,207,229,298,63,7,87,135,544
2016,Kentavious Caldwell-Pope,SG,22,DET,76,76,2789,403,960,114,369,289,591,185,228,70,212,282,138,110,17,105,167,1105
2016,Isaiah Canaan,SG,24,PHI,77,39,1966,260,722,176,485,84,237,150,180,20,154,174,137,56,12,91,133,846
2016,Clint Capela,C,21,HOU,77,35,1471,231,397,0,1,231,396,80,211,194,300,494,47,59,92,60,190,542
2016,DeMarre Carroll,SF,29,TOR,26,22,786,105,270,46,118,59,152,30,50,31,91,122,27,44,6,28,63,286
2016,Vince Carter,SG,39,MEM,60,3,1005,133,343,59,169,74,174,70,84,31,115,146,56,38,16,35,101,395
2016,Michael Carter-Williams,PG,24,MIL,54,37,1649,251,555,15,55,236,500,106,162,48,228,276,281,80,41,153,162,623
2016,Omri Casspi,SF,27,SAC,69,21,1880,299,622,112,274,187,348,103,159,58,352,410,95,56,17,94,154,813
2016,Willie Cauley-Stein,C,22,SAC,66,39,1412,191,339,0,2,191,337,81,125,134,218,352,37,48,66,46,146,463
2016,Mario Chalmers,PG,29,TOT,61,7,1373,182,444,46,149,136,295,218,262,24,133,157,230,88,13,110,181,628
2016,Mario Chalmers,PG,29,MIA,6,0,120,10,32,1,11,9,21,12,13,1,13,14,19,8,1,9,16,33
2016,Mario Chalmers,PG,29,MEM,55,7,1253,172,412,45,138,127,274,206,249,23,120,143,211,80,12,101,165,595
2016,Tyson Chandler,C,33,PHO,66,60,1618,183,314,0,1,183,313,106,171,175,401,576,64,36,44,93,145,472
2016,Rakeem Christmas,PF,24,IND,1,0,6,2,2,0,0,2,2,0,0,1,0,1,0,0,0,0,1,4
2016,Ian Clark,SG,24,GSW,66,1,578,89,202,30,84,59,118,28,34,13,55,68,64,17,13,43,58,236
2016,Coty Clarke,SF,23,BOS,3,0,6,2,4,2,2,0,2,0,0,0,1,1,0,0,0,1,0,6
2016,Jordan Clarkson,SG,23,LAL,79,79,2552,475,1098,111,320,364,778,164,204,93,220,313,192,88,7,135,168,1225
2016,Norris Cole,PG,27,NOP,45,23,1198,196,484,33,102,163,382,52,65,10,141,151,167,37,5,75,102,477
2016,Darren Collison,PG,28,SAC,74,15,2219,377,776,87,217,290,559,194,226,28,141,169,318,76,4,130,142,1035
2016,Nick Collison,PF,35,OKC,59,4,699,50,109,0,2,50,107,23,33,68,103,171,52,15,16,50,107,123
2016,Mike Conley,PG,28,MEM,56,56,1761,294,696,78,215,216,481,191,229,26,138,164,342,67,16,84,100,857
2016,Pat Connaughton,SG,23,POR,34,0,143,13,49,5,21,8,28,5,5,11,21,32,10,2,0,10,6,36
2016,Chris Copeland,PF,31,MIL,24,1,156,17,51,10,36,7,15,6,7,1,9,10,11,2,0,6,17,50
2016,Bryce Cotton,PG,23,TOT,8,0,39,4,10,0,3,4,7,0,0,0,0,0,3,3,0,5,2,8
2016,Bryce Cotton,PG,23,PHO,3,0,33,2,8,0,3,2,5,0,0,0,0,0,3,3,0,5,2,4
2016,Bryce Cotton,PG,23,MEM,5,0,6,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
2016,DeMarcus Cousins,C,25,SAC,65,65,2246,601,1332,70,210,531,1122,476,663,158,589,747,214,101,92,249,236,1748
2016,Robert Covington,SF,25,PHI,67,49,1903,274,712,170,482,104,230,140,177,65,354,419,97,105,40,143,232,858
2016,Allen Crabbe,SG,23,POR,81,8,2105,311,678,112,285,199,393,98,113,27,189,216,99,63,16,64,192,832
2016,Jamal Crawford,SG,35,LAC,79,5,2126,379,939,117,344,262,595,245,271,20,125,145,183,52,12,113,122,1120
2016,Jae Crowder,SF,25,BOS,73,73,2308,360,813,122,363,238,450,196,239,70,303,373,135,126,35,83,198,1038
2016,Dante Cunningham,SF,28,NOP,80,46,1971,186,412,55,174,131,238,57,82,57,179,236,77,42,33,41,173,484
2016,Jared Cunningham,SG,24,TOT,44,3,410,36,105,12,39,24,66,36,55,3,35,38,20,14,2,21,41,120
2016,Jared Cunningham,SG,24,CLE,40,3,355,32,91,10,32,22,59,30,48,3,26,29,19,12,2,18,37,104
2016,Jared Cunningham,SG,24,MIL,4,0,55,4,14,2,7,2,7,6,7,0,9,9,1,2,0,3,4,16
2016,Seth Curry,PG,25,SAC,44,9,692,102,224,50,111,52,113,45,54,9,51,60,67,22,3,36,41,299
2016,Stephen Curry,PG,27,GSW,79,79,2700,805,1598,402,886,403,712,363,400,68,362,430,527,169,15,262,161,2375
2016,Troy Daniels,SG,24,CHO,43,0,476,89,187,59,122,30,65,5,9,7,50,57,21,11,3,24,40,242
2016,Anthony Davis,C,22,NOP,61,61,2164,560,1136,35,108,525,1028,326,430,130,497,627,116,78,125,121,148,1481
2016,Ed Davis,PF,26,POR,81,0,1684,206,337,0,0,206,337,114,204,224,375,599,88,57,72,64,202,526
2016,Branden Dawson,PF,22,LAC,6,0,29,2,5,0,0,2,5,1,1,2,2,4,0,0,1,0,2,5
2016,Dewayne Dedmon,C,26,ORL,58,20,705,99,177,0,0,99,177,57,76,67,161,228,13,22,46,32,109,255
2016,Bryce Dejean-Jones,SG,23,NOP,14,11,279,28,69,12,32,16,37,11,21,8,40,48,15,10,2,11,17,79
2016,Sam Dekker,SF,21,HOU,3,0,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2016,Matthew Dellavedova,PG,25,CLE,76,14,1867,207,511,98,239,109,272,57,66,33,129,162,337,44,9,116,178,569
2016,Luol Deng,PF,30,MIA,74,73,2394,339,745,88,256,251,489,145,192,108,335,443,140,74,29,81,122,911
2016,DeMar DeRozan,SG,26,TOR,78,78,2804,614,1377,47,139,567,1238,555,653,64,285,349,315,81,21,175,167,1830
2016,Boris Diaw,PF,33,SAS,76,4,1386,202,383,25,69,177,314,56,76,58,175,233,176,26,21,97,102,485
2016,Gorgui Dieng,C,26,MIN,82,39,2220,308,579,6,20,302,559,205,248,157,428,585,143,94,96,140,219,827
2016,Spencer Dinwiddie,PG,22,DET,12,0,159,19,54,1,10,18,44,19,33,4,13,17,22,3,0,7,20,58
2016,Toney Douglas,PG,29,NOP,61,18,1262,183,445,81,203,102,242,84,99,25,118,143,157,70,5,64,131,531
2016,Goran Dragic,PG,29,MIA,72,72,2363,417,875,64,205,353,670,120,165,54,223,277,419,71,17,185,188,1018
2016,Andre Drummond,C,22,DET,81,81,2666,552,1060,2,6,550,1054,208,586,395,803,1198,67,119,112,155,245,1314
2016,Jared Dudley,PF,30,WAS,81,41,2098,233,487,100,238,133,249,72,98,54,232,286,170,75,18,80,190,638
2016,Duje Dukan,SF,24,SAC,1,0,24,2,10,2,5,0,5,0,0,2,2,4,1,1,0,0,2,6
2016,Tim Duncan,C,39,SAS,61,60,1536,215,441,0,2,215,439,92,131,115,332,447,163,47,78,90,125,522
2016,Mike Dunleavy,SF,35,CHI,31,30,703,77,188,39,99,38,89,29,37,8,75,83,39,14,10,26,66,222
2016,Kevin Durant,SF,27,OKC,72,72,2578,698,1381,186,481,512,900,447,498,45,544,589,361,69,85,250,137,2029
2016,Cleanthony Early,SF,24,NYK,17,2,154,12,40,4,15,8,25,3,4,4,22,26,6,2,3,9,16,31
2016,Jarell Eddie,SF,24,WAS,26,0,147,20,65,15,47,5,18,8,8,2,21,23,5,5,1,1,5,63
2016,Wayne Ellington,SG,28,BRK,76,41,1615,218,561,96,268,122,293,54,63,20,154,174,83,48,5,45,82,586
2016,Monta Ellis,SG,30,IND,81,81,2734,436,1021,87,282,349,739,162,206,42,229,271,383,150,37,203,174,1121
2016,James Ennis,SF,25,TOT,22,5,329,54,113,26,58,28,55,25,34,21,21,42,21,16,5,19,28,159
2016,James Ennis,SF,25,MIA,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2016,James Ennis,SF,25,MEM,10,0,40,4,13,2,8,2,5,6,10,4,3,7,2,4,2,2,1,16
2016,James Ennis,SF,25,NOP,9,5,282,50,100,24,50,26,50,19,24,17,18,35,18,12,3,17,26,143
2016,Tyler Ennis,PG,21,MIL,46,7,654,84,187,13,39,71,148,25,34,13,62,75,95,25,1,46,64,206
2016,Jeremy Evans,SF,28,DAL,30,2,251,26,48,4,16,22,32,15,21,11,43,54,2,6,9,7,19,71
2016,Tyreke Evans,SG,26,NOP,25,25,765,136,314,33,85,103,229,74,93,20,109,129,164,32,8,73,66,379
2016,Festus Ezeli,C,26,GSW,46,13,770,125,228,0,0,125,228,70,132,91,166,257,32,18,50,38,94,320
2016,Kenneth Faried,PF,26,DEN,67,64,1694,349,626,1,2,348,624,136,222,235,346,581,79,32,60,91,169,835
2016,Jordan Farmar,PG,29,MEM,12,10,291,42,100,16,45,26,55,10,10,4,21,25,37,15,2,18,22,110
2016,Derrick Favors,PF,24,UTA,62,59,1983,418,811,0,4,418,807,180,254,169,334,503,94,74,91,104,150,1016
2016,Cristiano Felicio,C,23,CHI,31,4,321,40,72,0,4,40,68,25,35,30,72,102,26,6,13,13,31,105
2016,Raymond Felton,PG,31,DAL,80,31,2192,277,682,60,213,217,469,149,176,36,222,258,284,68,15,121,141,763
2016,Evan Fournier,SF,23,ORL,79,71,2566,429,929,156,390,273,539,199,238,33,192,225,213,96,2,133,214,1213
2016,Randy Foye,SG,32,TOT,81,8,1642,169,482,75,250,94,232,61,74,24,132,156,161,39,29,86,131,474
2016,Randy Foye,SG,32,DEN,54,7,1070,117,333,50,169,67,164,39,47,16,89,105,112,26,16,58,83,323
2016,Randy Foye,SG,32,OKC,27,1,572,52,149,25,81,27,68,22,27,8,43,51,49,13,13,28,48,151
2016,Tim Frazier,PG,25,TOT,51,2,741,96,229,16,48,80,181,53,74,26,84,110,162,33,2,65,73,261
2016,Tim Frazier,PG,25,POR,35,1,272,20,60,3,17,17,43,8,15,11,28,39,42,10,1,27,31,51
2016,Tim Frazier,PG,25,NOP,16,1,469,76,169,13,31,63,138,45,59,15,56,71,120,23,1,38,42,210
2016,Jimmer Fredette,SG,26,TOT,6,0,18,2,5,1,2,1,3,4,5,0,0,0,1,1,0,2,2,9
2016,Jimmer Fredette,SG,26,NOP,4,0,13,1,4,0,1,1,3,0,0,0,0,0,1,1,0,1,1,2
2016,Jimmer Fredette,SG,26,NYK,2,0,5,1,1,1,1,0,0,4,5,0,0,0,0,0,0,1,1,7
2016,Channing Frye,PF-C,32,TOT,70,32,1200,152,347,91,235,61,112,30,35,35,199,234,71,29,28,43,127,425
2016,Channing Frye,PF,32,ORL,44,29,754,81,186,48,121,33,65,19,21,23,118,141,45,21,20,30,71,229
2016,Channing Frye,C,32,CLE,26,3,446,71,161,43,114,28,47,11,14,12,81,93,26,8,8,13,56,196
2016,Danilo Gallinari,SF,27,DEN,53,53,1839,287,700,87,239,200,461,375,432,52,229,281,135,42,19,77,87,1036
2016,Langston Galloway,PG,24,NYK,82,7,2033,231,588,77,224,154,364,86,114,43,245,288,207,77,22,61,177,625
2016,Kevin Garnett,PF,39,MIN,38,38,556,54,115,0,1,54,114,14,21,15,135,150,62,28,10,16,70,122
2016,Marc Gasol,C,31,MEM,52,52,1791,328,707,2,3,326,704,203,245,58,304,362,196,50,70,118,141,861
2016,Pau Gasol,C,35,CHI,72,72,2291,467,995,24,69,443,926,229,289,155,638,793,294,42,146,164,148,1187
2016,Rudy Gay,SF,29,SAC,70,70,2379,466,1007,74,215,392,792,198,254,103,353,456,120,100,51,139,184,1204
2016,Alonzo Gee,SF,28,NOP,73,38,1632,132,255,17,60,115,195,44,66,60,185,245,72,63,13,55,169,325
2016,Paul George,SF,25,IND,81,81,2819,605,1449,210,566,395,883,454,528,79,484,563,329,152,29,265,230,1874
2016,Taj Gibson,PF,30,CHI,73,55,1936,263,500,0,3,263,497,101,146,206,298,504,106,47,77,78,180,627
2016,Manu Ginobili,SG,38,SAS,58,0,1134,197,435,70,179,127,256,91,112,26,120,146,177,66,11,99,99,555
2016,Rudy Gobert,C,23,UTA,61,60,1932,198,354,0,0,198,354,161,283,208,460,668,91,45,135,114,163,557
2016,Drew Gooden,PF,34,WAS,30,0,305,33,103,7,41,26,62,9,14,28,57,85,13,8,11,13,40,82
2016,Archie Goodwin,PG,21,PHO,57,13,1114,176,422,23,99,153,323,130,193,27,115,142,118,27,13,100,84,505
2016,Aaron Gordon,PF,20,ORL,78,37,1863,274,579,42,142,232,437,129,193,154,353,507,128,59,55,66,153,719
2016,Eric Gordon,SG,27,NOP,45,44,1481,231,552,113,294,118,258,111,125,10,89,99,121,43,14,73,98,686
2016,Marcin Gortat,C,31,WAS,75,74,2256,433,764,0,1,433,763,146,207,222,519,741,106,47,96,121,193,1012
2016,Andrew Goudelock,PG,27,HOU,8,0,50,9,20,1,9,8,11,3,4,1,1,2,4,6,2,7,4,22
2016,Jerami Grant,SF,21,PHI,77,52,2066,251,599,35,146,216,453,212,322,99,262,361,135,54,127,110,215,749
2016,Jerian Grant,PG,23,NYK,76,6,1265,154,391,22,100,132,291,96,123,23,120,143,177,50,10,87,97,426
2016,Danny Green,SG,28,SAS,79,79,2062,211,561,116,349,95,212,34,46,48,255,303,141,79,64,75,141,572
2016,Draymond Green,PF,25,GSW,81,81,2808,401,819,100,258,301,561,229,329,134,635,769,598,119,113,259,240,1131
2016,Erick Green,PG,24,TOT,9,0,42,5,13,1,5,4,8,2,2,3,3,6,3,1,0,0,4,13
2016,Erick Green,PG,24,DEN,3,0,7,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
2016,Erick Green,PG,24,UTA,6,0,35,5,12,1,4,4,8,2,2,3,2,5,2,1,0,0,4,13
2016,Gerald Green,SG,30,MIA,69,14,1557,230,587,84,260,146,327,72,92,25,138,163,56,38,19,46,123,616
2016,JaMychal Green,PF,25,MEM,78,15,1446,230,495,15,45,215,450,103,137,139,234,373,67,46,33,83,189,578
2016,Jeff Green,SF,29,TOT,80,41,2253,354,824,67,213,287,611,164,220,74,258,332,138,58,40,93,164,939
2016,Jeff Green,SF,29,MEM,53,31,1544,240,557,42,136,198,421,124,155,55,186,241,98,40,19,69,102,646
2016,Jeff Green,SF,29,LAC,27,10,709,114,267,25,77,89,190,40,65,19,72,91,40,18,21,24,62,293
2016,Blake Griffin,PF,26,LAC,35,35,1170,301,603,6,18,295,585,141,194,51,243,294,170,28,17,83,95,749
2016,Jorge Gutierrez,PG,27,CHO,12,0,63,6,11,0,2,6,9,10,11,0,7,7,17,3,0,6,3,22
2016,P.J. Hairston,SF,23,TOT,66,52,1313,145,408,70,241,75,167,50,64,25,149,174,38,32,11,41,137,410
2016,P.J. Hairston,SF,23,CHO,48,43,938,99,276,54,172,45,104,34,42,18,110,128,29,24,7,24,106,286
2016,P.J. Hairston,SF,23,MEM,18,9,375,46,132,16,69,30,63,16,22,7,39,46,9,8,4,17,31,124
2016,Jordan Hamilton,SF,25,NOP,11,4,304,49,116,13,45,36,71,14,21,12,50,62,25,8,3,17,24,125
2016,Tyler Hansbrough,PF,30,CHO,44,0,343,32,71,2,3,30,68,38,65,40,49,89,8,12,7,12,55,104
2016,Tim Hardaway,SG,23,ATL,51,1,864,114,265,48,142,66,123,50,56,7,79,86,51,21,7,23,48,326
2016,James Harden,SG,26,HOU,82,82,3125,710,1617,236,657,474,960,720,837,63,438,501,612,139,51,374,229,2376
2016,Maurice Harkless,SF,22,POR,78,14,1457,195,411,39,140,156,271,69,111,101,179,280,67,49,35,62,124,498
2016,Justin Harper,PF,26,DET,5,0,35,4,10,4,9,0,1,1,2,0,1,1,0,1,0,2,3,13
2016,Montrezl Harrell,PF,22,HOU,39,1,379,58,90,0,1,58,89,24,46,25,40,65,17,11,11,17,48,140
2016,Devin Harris,PG,32,DAL,64,0,1280,167,374,52,158,115,216,101,140,18,120,138,118,60,13,66,124,487
2016,Gary Harris,SG,21,DEN,76,76,2439,359,765,105,297,254,468,109,133,54,166,220,147,97,18,98,143,932
2016,Joe Harris,SG,24,CLE,5,0,15,1,4,1,4,0,0,0,0,0,3,3,2,0,0,1,1,3
2016,Tobias Harris,PF,23,TOT,76,74,2513,417,889,80,239,337,650,202,243,96,414,510,169,65,40,108,153,1116
2016,Tobias Harris,PF,23,ORL,49,49,1610,251,541,47,151,204,390,120,153,71,271,342,99,47,28,78,91,669
2016,Tobias Harris,PF,23,DET,27,25,903,166,348,33,88,133,260,82,90,25,143,168,70,18,12,30,62,447
2016,Aaron Harrison,SG,21,CHO,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18
2016,Udonis Haslem,PF,35,MIA,37,0,260,23,61,1,9,22,52,12,16,10,65,75,14,5,2,5,25,59
2016,Spencer Hawes,PF,27,CHO,57,6,1035,124,306,38,102,86,204,54,65,51,193,244,109,22,27,58,111,340
2016,Chuck Hayes,C,32,HOU,2,0,24,1,2,0,0,1,2,2,2,0,8,8,2,0,0,3,6,4
2016,Gordon Hayward,SF,25,UTA,80,80,2893,521,1202,143,410,378,792,393,477,61,336,397,296,95,27,202,183,1578
2016,Gerald Henderson,SG,28,POR,72,0,1431,232,529,48,136,184,393,112,146,30,181,211,75,39,19,68,87,624
2016,John Henson,C,25,MIL,57,1,960,164,291,0,1,164,290,69,117,87,134,221,54,18,109,64,131,397
2016,Mario Hezonja,SF,20,ORL,79,9,1413,181,418,67,192,114,226,49,54,28,148,176,109,39,17,97,124,478
2016,Roy Hibbert,C,29,LAL,81,81,1878,182,411,0,2,182,409,117,145,132,266,398,95,32,110,76,252,481
2016,J.J. Hickson,C,27,TOT,35,9,436,80,155,0,1,80,154,46,103,39,93,132,23,15,14,25,47,206
2016,J.J. Hickson,C,27,DEN,20,9,305,55,109,0,0,55,109,27,59,22,65,87,16,10,12,16,35,137
